точка,вычисленное_значение,точное_значение,абс_ошибка,относ_ошибка
0.0,0.0,0.0,0.0,0.0
0.00010000333344444814,6.36641e-05,6.36640993026613e-5,6.97338698287323e-13,1.09534053724493e-8
0.0002000066668888963,0.000127328,0.000127328198180867,1.98180866980762e-10,1.55645700053647e-6
0.00030001000033334443,0.000190992,0.000190992296210161,2.96210161433719e-10,1.55090108742856e-6
0.0004000133337777926,0.000254656,0.000254656392966089,3.92966088976713e-10,1.54312280503368e-6
0.0005000166672222407,0.00031832,0.000318320488024194,4.88024194135721e-10,1.53312215507004e-6
0.0006000200006666889,0.000381985,0.000381984580960021,4.1903997882297e-10,1.09700757206695e-6
0.000700023334111137,0.000445649,0.000445648671349115,3.2865088542321e-10,7.37466317785302e-7
0.0008000266675555852,0.000509313,0.000509312758767019,2.41232981181873e-10,4.73644095019773e-7
0.0009000300010000333,0.000572977,0.000572976842789278,1.57210721654297e-10,2.74375349297909e-7
0.0010000333344444814,0.000636641,0.000636640922991438,7.70085622874006e-11,1.20960747864893e-7
0.0011000366678889295,0.000700305,0.000700304998949041,1.05095879915362e-12,1.50071582985999e-9
0.0012000400013333777,0.000763969,0.000763969070237634,7.02376337429964e-11,9.19377974676528e-8
0.001300043334777826,0.000827633,0.00082763313643276,1.364327597295e-10,1.64846903245926e-7
0.001400046668222274,0.000891297,0.000891297197109964,1.9710996387607e-10,2.21149538329135e-7
0.001500050001666722,0.000954961,0.000954961251844791,2.51844790573157e-10,2.63722522587091e-7
0.0016000533351111703,0.00101863,0.00101862530021279,4.69978721478331e-9,4.61385281632775e-6
0.0017000566685556186,0.00108229,0.00108228934178949,6.58210508232976e-10,6.08165009309345e-7
0.0018000600020000666,0.00114595,0.00114595337615046,3.37615045577395e-9,2.94614992467594e-6
0.0019000633354445146,0.00120962,0.00120961740287122,2.59712877852952e-9,2.14706631222216e-6
0.002000066668888963,0.00127328,0.00127328142152733,1.42152733464615e-9,1.11642823769828e-6
0.002100070002333411,0.00133695,0.00133694543169434,4.56830566040664e-9,3.41697241240441e-6
0.002200073335777859,0.00140061,0.00140060943294778,5.67052218765698e-10,4.04861059065835e-7
0.002300076669222307,0.00146427,0.00146427342486321,3.42486320575354e-9,2.33895059847483e-6
0.0024000800026667555,0.00152794,0.00152793740701616,2.59298384239909e-9,1.69704847122355e-6
0.0025000833361112037,0.0015916,0.00159160137898218,1.3789821821323e-9,8.66411778398768e-7
0.002600086669555652,0.00165527,0.00165526534033683,4.65966317484204e-9,2.81505512045507e-6
0.0027000900030000998,0.00171893,0.00171892929065563,7.09344368616735e-10,4.12666403475801e-7
0.002800093336444548,0.00178259,0.00178259322951415,3.22951414742645e-9,1.81169438554132e-6
0.0029000966698889963,0.00184626,0.00184625715648792,2.84351208204581e-9,1.54014952386957e-6
0.003000100003333444,0.00190992,0.00190992107115249,1.0711524889729e-9,5.60835997147098e-7
0.0031001033367778924,0.00197358,0.00197358497308341,4.97308340688396e-9,2.51982228897624e-6
