статистика,значение
средняя_абс_ошибка,3.63393259571416e-8
средняя_отн_ошибка,1.12629178978313e-6
макс_абс_ошибка,0.0147508511856017
макс_отн_ошибка,0.0533267083675409
медианная_абс_ошибка,3.38092372023993e-10
медианная_отн_ошибка,5.41713258452021e-7
