статистика,значение
средняя_абс_ошибка,2.38697632850853e-7
средняя_отн_ошибка,5.21175601526633e-7
макс_абс_ошибка,5.11758672772089e-7
макс_отн_ошибка,4.94176236676194e-6
медианная_абс_ошибка,2.37226556953907e-7
медианная_отн_ошибка,4.15083952913867e-7
